Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
26.158,2.21,26.1575,2.268,3.62,18.77,39.3
26.158,2.23,26.1581,2.186,3.84,18.99,42.6
26.159,2.8,26.1593,2.27,3.61,18.76,39.2
26.1594,1.77,26.1603,2.156,3.92,19.07,43.8
26.162,2.34,26.1617,2.144,3.95,19.1,44.2
26.1629,1.64,26.1629,2.044,4.22,19.37,48.2
26.165,2.17,26.1643,2.096,4.08,19.23,46.2
26.1654,2.3,26.1654,2.15,3.93,19.08,44
26.1664,2.03,26.1664,2.266,3.62,18.77,39.4
26.1674,2.61,26.1676,2.258,3.65,18.8,39.7
26.168,2.22,26.1689,2.098,4.07,19.22,46.1
26.171,2.13,26.1704,2.138,3.97,19.12,44.5
26.1717,1.5,26.1723,1.936,4.5,19.65,52.6
26.174,2.23,26.1741,1.934,4.51,19.66,52.6
26.1769,1.6,26.1755,1.966,4.42,19.57,51.4
26.177,2.21,26.1774,2.074,4.14,19.29,47
26.1779,2.29,26.179,1.966,4.42,19.57,51.4
26.181,2.04,26.1804,2.048,4.21,19.36,48.1
26.1821,1.69,26.1822,2.178,3.86,19.01,42.9
26.184,2.01,26.184,2.146,3.94,19.09,44.2
26.186,2.86,26.1852,2.178,3.86,19.01,42.9
26.187,2.13,26.1863,2.196,3.81,18.96,42.2
26.187,2.2,26.1871,2.318,3.49,18.64,37.3
26.1874,1.78,26.1879,2.22,3.75,18.9,41.2
26.1881,2.62,26.189,2.128,3.99,19.14,44.9
26.19,2.37,26.1902,2.082,4.11,19.26,46.7
26.1926,1.67,26.1919,2.184,3.84,18.99,42.6
26.193,1.97,26.1939,2.04,4.23,19.38,48.4
26.196,2.29,26.1957,2.022,4.27,19.42,49.1
26.1978,1.9,26.1976,2.14,3.96,19.11,44.4
26.199,2.28,26.1994,2.064,4.16,19.31,47.4
26.202,2.26,26.2012,1.994,4.35,19.5,50.2
26.2024,1.59,26.2029,2.056,4.18,19.33,47.8
26.205,1.94,26.2047,2.02,4.28,19.43,49.2
26.2063,2.21,26.2061,2.096,4.08,19.23,46.2
26.208,2.1,26.2076,2.142,3.95,19.1,44.3
26.2087,2.64,26.2088,2.318,3.49,18.64,37.3
26.2102,1.82,26.2098,2.264,3.63,18.78,39.4
26.211,2.82,26.2105,2.184,3.84,18.99,42.6
26.211,1.94,26.211,2.292,3.55,18.7,38.3
26.2114,1.7,26.2118,2.326,3.46,18.61,37
26.2114,3.18,26.2124,2.124,4,19.15,45
26.214,1.99,26.2136,2.23,3.72,18.87,40.8
26.2141,1.81,26.2149,2.262,3.63,18.78,39.5
26.217,2.47,26.2162,1.956,4.45,19.6,51.8
26.218,1.86,26.2174,1.956,4.45,19.6,51.8
26.2181,1.65,26.219,1.854,4.72,19.87,55.8
26.22,1.99,26.2202,1.92,4.55,19.7,53.2
26.222,1.3,26.2214,1.994,4.35,19.5,50.2
26.2229,2.8,26.223,2.018,4.29,19.44,49.3
26.224,2.23,26.2248,2.164,3.9,19.05,43.4
26.2259,1.77,26.2264,2.226,3.73,18.88,41
26.2294,2.72,26.2278,2.098,4.07,19.22,46.1
26.2298,1.61,26.2298,1.942,4.49,19.64,52.3
26.23,2.16,26.2317,2.188,3.83,18.98,42.5
26.2337,1.45,26.2333,2.034,4.24,19.39,48.6
26.2356,3,26.2354,2.282,3.58,18.73,38.7
26.2376,1.95,26.2377,2.194,3.82,18.97,42.2
26.24,2.85,26.241,2.524,2.94,18.09,29
26.2416,1.72,26.2444,2.268,3.62,18.77,39.3
26.25,3.1,26.2479,2.428,3.19,18.34,32.9
26.2526,1.72,26.2511,2.162,3.9,19.05,43.5
26.2552,2.75,26.2542,2.21,3.77,18.92,41.6
26.256,1.52,26.2561,1.86,4.71,19.86,55.6
26.257,1.96,26.2575,1.926,4.53,19.68,53
26.2595,1.35,26.2591,1.676,5.3,20.45,63
26.26,2.05,26.2605,1.746,5.02,20.17,60.2
26.2629,1.5,26.2624,1.656,5.38,20.53,63.8
26.263,1.87,26.2639,1.774,4.94,20.09,59
26.2664,1.51,26.2655,1.934,4.51,19.66,52.6
26.267,1.94,26.2668,1.952,4.46,19.61,51.9
26.268,2.85,26.2682,1.95,4.47,19.62,52
26.2698,1.59,26.2696,2.028,4.26,19.41,48.9
26.27,1.86,26.2708,1.938,4.5,19.65,52.5
26.273,1.9,26.2724,1.93,4.52,19.67,52.8
26.2733,1.49,26.2736,1.96,4.44,19.59,51.6
26.2759,2.81,26.275,1.946,4.48,19.63,52.2
26.276,1.74,26.2762,2.034,4.24,19.39,48.6
26.2767,1.79,26.2776,2.128,3.99,19.14,44.9
26.279,2.34,26.2788,1.948,4.47,19.62,52.1
26.2802,1.96,26.2803,2.014,4.3,19.45,49.4
26.282,1.91,26.282,2.042,4.22,19.37,48.3
26.2836,2.07,26.2836,1.982,4.38,19.53,50.7
26.285,1.93,26.2851,2.078,4.13,19.28,46.9
26.2871,2.04,26.2868,2.098,4.07,19.22,46.1
26.288,2.44,26.2883,2.146,3.94,19.09,44.2
26.2904,2.01,26.2901,2.102,4.06,19.21,45.9
26.291,2.31,26.2916,2.07,4.15,19.3,47.2
26.294,1.71,26.2933,2.128,3.99,19.14,44.9
26.2947,1.88,26.2946,2.142,3.95,19.1,44.3
26.2965,2.73,26.2962,2.004,4.32,19.47,49.8
26.297,2.08,26.2974,2.1,4.07,19.22,46
26.2986,1.62,26.2989,2.12,4.01,19.16,45.2
26.3,2.19,26.3002,1.992,4.35,19.5,50.3
26.3025,1.98,26.302,1.992,4.35,19.5,50.3
26.303,2.09,26.3036,1.966,4.42,19.57,51.4
26.306,2.08,26.3054,1.88,4.65,19.8,54.8
26.3064,1.49,26.3069,1.876,4.66,19.81,55
26.309,1.76,26.3083,1.908,4.58,19.73,53.7
26.31,1.96,26.3097,1.948,4.47,19.62,52.1
26.31,2.25,26.3111,2.036,4.24,19.39,48.6
26.313,2.28,26.3125,2.094,4.08,19.23,46.2
26.3135,1.93,26.3139,2.17,3.88,19.03,43.2
26.316,2.05,26.3153,2.282,3.58,18.73,38.7
26.317,2.34,26.3165,2.192,3.82,18.97,42.3
26.3172,2.81,26.3182,2.168,3.89,19.04,43.3
26.319,1.83,26.3199,2.19,3.83,18.98,42.4
26.322,1.81,26.3215,2.082,4.11,19.26,46.7
26.3241,2.16,26.3233,2.098,4.07,19.22,46.1
26.325,1.8,26.3251,2.124,4,19.15,45
26.3263,2.89,26.3269,2.168,3.89,19.04,43.3
26.328,1.96,26.3288,2.186,3.84,18.99,42.6
26.331,2.03,26.3306,2.206,3.78,18.93,41.8
26.3339,2.25,26.3324,2.012,4.3,19.45,49.5
26.334,1.9,26.3342,1.976,4.4,19.55,51
26.3351,1.92,26.336,1.992,4.35,19.5,50.3
26.337,1.78,26.3374,1.934,4.51,19.66,52.6
26.34,2.11,26.3392,2.016,4.29,19.44,49.4
26.341,1.96,26.3412,2.208,3.78,18.93,41.7
26.343,2.31,26.343,2.29,3.56,18.71,38.4
26.3451,2.88,26.3448,2.292,3.55,18.7,38.3
26.346,2.19,26.3464,2.362,3.37,18.52,35.5
26.349,2.12,26.3479,2.422,3.21,18.36,33.1
26.3491,2.31,26.3495,2.272,3.61,18.76,39.1
26.3502,2.61,26.351,2.174,3.87,19.02,43
26.353,2.13,26.3524,2.178,3.86,19.01,42.9
26.3535,1.7,26.3541,2.092,4.09,19.24,46.3
26.356,2.14,26.3559,1.974,4.4,19.55,51
26.3579,1.88,26.3577,1.922,4.54,19.69,53.1
26.359,2.02,26.3594,1.97,4.41,19.56,51.2
26.362,1.87,26.3612,1.96,4.44,19.59,51.6
26.3622,1.94,26.3629,1.922,4.54,19.69,53.1
26.365,2.09,26.3647,1.91,4.57,19.72,53.6
26.3664,1.69,26.3665,1.954,4.46,19.61,51.8
26.368,1.96,26.3685,2.028,4.26,19.41,48.9
26.371,2.09,26.3703,2.126,4,19.15,45
26.372,2.31,26.3718,2.216,3.76,18.91,41.4
26.374,2.58,26.3731,2.258,3.65,18.8,39.7
26.374,2.14,26.3743,2.232,3.71,18.86,40.7
26.3743,2.17,26.3755,2.108,4.05,19.2,45.7
26.377,1.96,26.3767,2.054,4.19,19.34,47.8
26.3782,1.69,26.3783,1.984,4.38,19.53,50.6
26.38,2.31,26.3801,1.92,4.55,19.7,53.2
26.3822,1.79,26.3819,1.974,4.4,19.55,51
26.383,1.85,26.3835,2.09,4.09,19.24,46.4
26.386,2.23,26.3853,2.038,4.23,19.38,48.5
26.3861,2.27,26.3867,2.172,3.87,19.02,43.1
26.389,2.05,26.388,2.314,3.5,18.65,37.4
26.3895,2.46,26.3888,2.324,3.47,18.62,37
26.3895,2.56,26.39,2.302,3.53,18.68,37.9
26.3901,2.28,26.391,2.32,3.48,18.63,37.2
26.392,2.16,26.392,2.412,3.23,18.38,33.5
26.394,2.14,26.3933,2.314,3.5,18.65,37.4
26.3946,2.92,26.3947,2.276,3.6,18.75,39
26.396,2.07,26.3957,2.262,3.63,18.78,39.5
26.397,2.09,26.3965,2.286,3.57,18.72,38.6
26.397,2.09,26.3974,2.136,3.97,19.12,44.6
26.398,2.26,26.3986,2.178,3.86,19.01,42.9
26.399,2.17,26.3996,2.162,3.9,19.05,43.5
26.4019,2.28,26.4012,2.174,3.87,19.02,43
26.402,2.01,26.4028,2.042,4.22,19.37,48.3
26.405,2.15,26.4046,2.038,4.23,19.38,48.5
26.4059,1.6,26.4061,1.884,4.64,19.79,54.6
26.408,2.15,26.4079,1.924,4.54,19.69,53
26.4098,1.51,26.4095,1.948,4.47,19.62,52.1
26.411,2.21,26.4111,2.034,4.24,19.39,48.6
26.413,2.27,26.4123,2.032,4.25,19.4,48.7
26.4136,2.03,26.4134,2.258,3.65,18.8,39.7
26.414,2.14,26.4146,2.282,3.58,18.73,38.7
26.4153,2.64,26.4155,2.224,3.74,18.89,41
26.417,2.33,26.4168,2.264,3.63,18.78,39.4
26.4175,1.98,26.4182,2.218,3.75,18.9,41.3
26.42,2.23,26.4198,2.1,4.07,19.22,46
26.4214,1.91,26.4214,2,4.33,19.48,50
26.423,2.05,26.4231,2.078,4.13,19.28,46.9
26.4252,1.83,26.4249,2.05,4.2,19.35,48
26.426,2.37,26.4265,2.064,4.16,19.31,47.4
26.429,2.09,26.4283,2.09,4.09,19.24,46.4
26.4291,1.98,26.4299,2.306,3.52,18.67,37.8
26.432,2.18,26.4317,2.19,3.83,18.98,42.4
26.4335,2.91,26.4331,2.266,3.62,18.77,39.4
26.435,1.79,26.4346,2.188,3.83,18.98,42.5
26.4359,2.47,26.436,2.146,3.94,19.09,44.2
26.4368,1.59,26.4376,2.016,4.29,19.44,49.4
26.439,1.97,26.439,2.092,4.09,19.24,46.3
26.4411,2.26,26.4404,2.064,4.16,19.31,47.4
26.442,2.17,26.4419,2.108,4.05,19.2,45.7
26.443,2.33,26.4431,2.164,3.9,19.05,43.4
26.4446,1.81,26.4445,2.152,3.93,19.08,43.9
26.445,2.25,26.4458,2.134,3.98,19.13,44.6
26.448,2.2,26.4474,2.134,3.98,19.13,44.6
26.4484,2.08,26.4489,2.124,4,19.15,45
26.451,2.33,26.4507,2.16,3.91,19.06,43.6
26.4523,1.76,26.4524,2.076,4.13,19.28,47
26.454,2.43,26.4541,2.098,4.07,19.22,46.1
26.4562,1.78,26.4559,2.082,4.11,19.26,46.7
26.457,2.19,26.4574,2.002,4.33,19.48,49.9
26.46,2.25,26.4592,1.936,4.5,19.65,52.6
26.46,1.36,26.4608,1.89,4.63,19.78,54.4
26.463,2.1,26.4622,1.898,4.61,19.76,54.1
26.4639,1.55,26.4634,1.866,4.69,19.84,55.4
26.4641,2.23,26.4646,2.028,4.26,19.41,48.9
26.4658,2.09,26.4655,1.914,4.56,19.71,53.4
26.466,2.17,26.4665,1.992,4.35,19.5,50.3
26.4676,1.53,26.4679,1.856,4.72,19.87,55.8
26.469,1.94,26.4692,1.86,4.71,19.86,55.6
26.4713,1.55,26.4708,1.89,4.63,19.78,54.4
26.472,2.11,26.4722,1.928,4.53,19.68,52.9
26.474,2.32,26.4734,1.976,4.4,19.55,51
26.4749,1.72,26.4742,2.138,3.97,19.12,44.5
26.475,2.18,26.4752,2.25,3.67,18.82,40
26.475,2.36,26.476,2.264,3.63,18.78,39.4
26.4772,2.67,26.4768,2.294,3.55,18.7,38.2
26.478,2.39,26.4782,2.324,3.47,18.62,37
26.4786,1.87,26.4796,2.252,3.66,18.81,39.9
26.482,2.33,26.4811,2.262,3.63,18.78,39.5
26.4823,2,26.4825,2.226,3.73,18.88,41
26.4846,2.72,26.484,2.228,3.73,18.88,40.9
26.485,2.21,26.4852,2.2,3.8,18.95,42
26.4862,1.88,26.4866,2.204,3.79,18.94,41.8
26.488,2.19,26.4876,2.038,4.23,19.38,48.5
26.489,2.02,26.4888,1.998,4.34,19.49,50.1
26.49,1.89,26.4904,2.018,4.29,19.44,49.3
26.491,2.01,26.4916,2.038,4.23,19.38,48.5
26.4938,1.98,26.4932,2.132,3.98,19.13,44.7
26.494,2.29,26.4947,2.226,3.73,18.88,41
26.497,2.49,26.4965,2.27,3.61,18.76,39.2
26.4976,2.36,26.4979,2.286,3.57,18.72,38.6
26.5,2.23,26.4993,2.21,3.77,18.92,41.6
26.5007,2.06,26.5005,2.178,3.86,19.01,42.9
26.5014,1.91,26.502,2.274,3.6,18.75,39
26.503,2.33,26.5031,2.242,3.69,18.84,40.3
26.505,2.84,26.5041,2.306,3.52,18.67,37.8
26.5053,2.07,26.5057,2.366,3.36,18.51,35.4
26.506,2.38,26.5072,2.43,3.19,18.34,32.8
26.509,2.21,26.5086,2.288,3.57,18.72,38.5
26.5107,2.65,26.5101,2.328,3.46,18.61,36.9
26.512,2.13,26.5119,2.344,3.42,18.57,36.2
26.5129,2.27,26.5135,2.27,3.61,18.76,39.2
26.515,2.46,26.5147,2.116,4.02,19.17,45.4
26.5167,1.84,26.5159,2.1,4.07,19.22,46
26.5169,1.88,26.517,2.186,3.84,18.99,42.6
26.518,2.05,26.518,2.134,3.98,19.13,44.6
26.5185,2.7,26.5189,2.168,3.89,19.04,43.3
26.52,2.2,26.5197,2.29,3.56,18.71,38.4
26.5209,2.01,26.5211,2.3,3.53,18.68,38
26.521,2.49,26.5224,2.194,3.82,18.97,42.2
26.5249,2.1,26.524,2.208,3.78,18.93,41.7
26.525,2.17,26.5256,2.21,3.77,18.92,41.6
26.528,2.27,26.5276,2.208,3.78,18.93,41.7
26.529,2.02,26.5292,2.224,3.74,18.89,41
26.531,2.48,26.531,2.26,3.64,18.79,39.6
26.5331,2.18,26.5324,2.354,3.39,18.54,35.8
26.534,2.35,26.5338,2.46,3.11,18.26,31.6
26.535,2.74,26.535,2.44,3.16,18.31,32.4
26.536,2.55,26.5358,2.402,3.26,18.41,33.9
26.537,2.38,26.537,2.386,3.3,18.45,34.6
26.5372,1.99,26.5383,2.414,3.23,18.38,33.4
26.54,2.27,26.5393,2.304,3.52,18.67,37.8
26.5411,2.88,26.5405,2.248,3.67,18.82,40.1
26.5413,2,26.5422,2.268,3.62,18.77,39.3
26.543,2.1,26.5434,2.182,3.85,19,42.7
26.5454,2.09,26.5449,1.974,4.4,19.55,51
26.546,1.84,26.5466,1.978,4.39,19.54,50.9
26.549,1.84,26.5482,2.012,4.3,19.45,49.5
26.5495,2.02,26.5495,1.974,4.4,19.55,51
26.551,2.27,26.551,1.992,4.35,19.5,50.3
26.552,1.9,26.5524,2.19,3.83,18.98,42.4
26.5536,1.93,26.5537,2.19,3.83,18.98,42.4
26.556,2.83,26.5549,2.306,3.52,18.67,37.8
26.556,2.02,26.5561,2.274,3.6,18.75,39
26.557,2.85,26.5571,2.33,3.45,18.6,36.8
26.5577,1.74,26.5583,2.124,4,19.15,45
26.559,2.21,26.5597,2.146,3.94,19.09,44.2
26.5618,1.8,26.5614,1.914,4.56,19.71,53.4
26.563,2.13,26.5633,1.946,4.48,19.63,52.2
26.5656,1.69,26.5653,1.79,4.89,20.04,58.4
26.567,1.9,26.5669,1.816,4.82,19.97,57.4
26.5691,1.43,26.5685,1.772,4.94,20.09,59.1
26.57,1.93,26.57,1.81,4.84,19.99,57.6
26.571,1.91,26.5716,1.844,4.75,19.9,56.2
26.5727,1.88,26.573,1.91,4.57,19.72,53.6
26.575,2.07,26.5748,1.962,4.43,19.58,51.5
26.5762,1.76,26.5764,1.954,4.46,19.61,51.8
26.579,2.19,26.5777,2.104,4.06,19.21,45.8
26.579,1.87,26.5786,2.064,4.16,19.31,47.4
26.5791,2.63,26.58,2.084,4.11,19.26,46.6
26.5798,1.87,26.5808,2.09,4.09,19.24,46.4
26.583,1.86,26.5824,2.16,3.91,19.06,43.6
26.5833,2.22,26.584,2.056,4.18,19.33,47.8
26.5869,2.22,26.5858,2.214,3.76,18.91,41.4
26.587,2.11,26.587,2.31,3.51,18.66,37.6
26.589,2.66,26.5885,2.296,3.54,18.69,38.2
26.589,2.34,26.5893,2.34,3.43,18.58,36.4
26.5905,2.15,26.5907,2.378,3.33,18.48,34.9
26.591,2.44,26.5919,2.2,3.8,18.95,42
26.594,2.3,26.5935,2.166,3.89,19.04,43.4
26.595,1.77,26.5949,2.196,3.81,18.96,42.2
26.597,2.17,26.5963,2.078,4.13,19.28,46.9
26.5974,2.3,26.5976,2.09,4.09,19.24,46.4
26.598,1.85,26.5994,2.18,3.85,19,42.8
26.6007,2.36,26.6008,2.168,3.89,19.04,43.3
26.604,2.22,26.6021,2.13,3.99,19.14,44.8
26.604,2.11,26.604,2.142,3.95,19.1,44.3
26.604,2.11,26.6055,2.096,4.08,19.23,46.2
26.6073,1.91,26.6063,2.1,4.07,19.22,46
26.608,2.13,26.6073,2.166,3.89,19.04,43.4
26.608,2.24,26.6086,2.142,3.95,19.1,44.3
26.609,2.44,26.6095,2.174,3.87,19.02,43
26.6105,1.99,26.6103,2.182,3.85,19,42.7
26.612,2.07,26.6114,2.152,3.93,19.08,43.9
26.612,2.17,26.6123,2.042,4.22,19.37,48.3
26.6134,2.09,26.6134,2.186,3.84,18.99,42.6
26.6138,1.89,26.6142,2.144,3.95,19.1,44.2
26.616,2.71,26.6153,2.098,4.07,19.22,46.1
26.616,1.86,26.6166,2.092,4.09,19.24,46.3
26.6171,1.94,26.6178,2.17,3.88,19.03,43.2
26.62,2.06,26.6187,2.036,4.24,19.39,48.6
26.62,2.28,26.6201,2.074,4.14,19.29,47
26.6204,2.04,26.6213,2.104,4.06,19.21,45.8
26.623,2.05,26.622,2.098,4.07,19.22,46.1
26.623,2.09,26.6234,2.032,4.25,19.4,48.7
26.6237,2.03,26.6247,2.022,4.27,19.42,49.1
26.627,1.95,26.6255,2.056,4.18,19.33,47.8
26.627,1.99,26.627,2.014,4.3,19.45,49.4
26.627,2.22,26.6285,2.01,4.31,19.46,49.6
26.6303,1.88,26.6293,2.058,4.18,19.33,47.7
26.631,2.01,26.6306,2.018,4.29,19.44,49.3
26.631,2.19,26.6322,1.948,4.47,19.62,52.1
26.6335,1.79,26.6331,1.988,4.37,19.52,50.5
26.635,1.87,26.6343,1.94,4.49,19.64,52.4
26.635,2.08,26.6359,1.908,4.58,19.73,53.7
26.6368,1.77,26.6372,1.872,4.67,19.82,55.1
26.639,2.03,26.6384,2.024,4.27,19.42,49
26.6401,1.61,26.64,2.044,4.22,19.37,48.2
26.641,2.63,26.6413,2.056,4.18,19.33,47.8
26.643,2.18,26.6429,2.052,4.19,19.34,47.9
26.6435,1.83,26.6443,2.128,3.99,19.14,44.9
26.6469,2.01,26.6462,1.954,4.46,19.61,51.8
26.647,1.99,26.6478,1.878,4.66,19.81,54.9
26.6504,1.76,26.6495,1.932,4.51,19.66,52.7
26.651,1.8,26.6508,1.856,4.72,19.87,55.8
26.652,2.1,26.6524,1.846,4.74,19.89,56.2
26.6538,1.63,26.6538,1.826,4.8,19.95,57
26.655,1.94,26.6554,1.88,4.65,19.8,54.8
26.6573,1.66,26.6572,1.814,4.83,19.98,57.4
26.659,2.07,26.6586,2.094,4.08,19.23,46.2
26.6607,1.77,26.66,2.092,4.09,19.24,46.3
26.661,3.03,26.6614,2.154,3.92,19.07,43.8
26.662,1.93,26.6628,2.128,3.99,19.14,44.9
26.6641,1.97,26.6641,2.162,3.9,19.05,43.5
26.666,1.94,26.6659,1.93,4.52,19.67,52.8
26.6676,1.94,26.6677,1.946,4.48,19.63,52.2
26.67,1.87,26.6692,2.096,4.08,19.23,46.2
26.671,2.01,26.6708,2.076,4.13,19.28,47
26.6712,2.72,26.6721,2.154,3.92,19.07,43.8
26.674,1.84,26.6737,2.148,3.94,19.09,44.1
26.6742,2.33,26.6751,2.116,4.02,19.17,45.4
26.6779,1.84,26.6771,1.972,4.41,19.56,51.1
26.678,1.85,26.6787,1.974,4.4,19.55,51
26.6813,2,26.6806,2.084,4.11,19.26,46.6
26.682,1.85,26.682,2.154,3.92,19.07,43.8
26.684,2.88,26.6836,2.146,3.94,19.09,44.2
26.6848,2.19,26.685,2.182,3.85,19,42.7
26.686,1.81,26.6866,2.194,3.82,18.97,42.2
26.6883,2.18,26.688,2.05,4.2,19.35,48
26.69,1.91,26.6894,2.002,4.33,19.48,49.9
26.691,2.16,26.691,2.036,4.24,19.39,48.6
26.6919,1.95,26.6925,2.026,4.26,19.41,49
26.694,1.98,26.6941,2.024,4.27,19.42,49
26.6954,2.13,26.6957,2.02,4.28,19.43,49.2
26.698,1.9,26.6977,2.056,4.18,19.33,47.8
26.699,2.14,26.6994,2.09,4.09,19.24,46.4
26.702,2.13,26.701,2.24,3.69,18.84,40.4
26.7025,2.15,26.7024,2.29,3.56,18.71,38.4
26.7035,2.88,26.7038,2.282,3.58,18.73,38.7
26.705,2.15,26.7052,2.316,3.49,18.64,37.4
26.7061,2.1,26.7066,2.312,3.5,18.65,37.5
26.709,2.3,26.7085,2.148,3.94,19.09,44.1
26.7096,2.13,26.7102,2.158,3.91,19.06,43.7
26.713,2.06,26.7123,2.162,3.9,19.05,43.5
26.7132,2.2,26.7145,2.09,4.09,19.24,46.4
26.7167,2.12,26.7168,2.078,4.13,19.28,46.9
26.7202,1.94,26.719,2.11,4.04,19.19,45.6
26.721,2.07,26.7213,2.098,4.07,19.22,46.1
26.7237,2.22,26.7232,2.112,4.03,19.18,45.5
26.725,2.14,26.7248,2.336,3.44,18.59,36.6
26.726,2.19,26.7263,2.292,3.55,18.7,38.3
26.7283,3.06,26.7273,2.29,3.56,18.71,38.4
26.7284,1.85,26.7283,2.344,3.42,18.57,36.2
26.729,2.21,26.7293,2.472,3.07,18.22,31.1
26.73,2.41,26.7297,2.33,3.45,18.6,36.8
26.7306,2.83,26.7307,2.372,3.34,18.49,35.1
26.7307,2.35,26.7323,2.394,3.28,18.43,34.2
26.733,2.06,26.7338,2.396,3.28,18.43,34.2
26.737,2.32,26.7359,2.276,3.6,18.75,39
26.7378,2.42,26.7383,2.278,3.59,18.74,38.9
26.741,2.23,26.7405,2.344,3.42,18.57,36.2
26.7425,2.36,26.742,2.366,3.36,18.51,35.4
26.744,2.39,26.7441,2.276,3.6,18.75,39
26.7448,2.43,26.7462,2.334,3.44,18.59,36.6
26.748,1.97,26.7481,2.328,3.46,18.61,36.9
26.7519,2.52,26.7502,2.344,3.42,18.57,36.2
26.752,2.33,26.7524,2.288,3.57,18.72,38.5
26.7542,2.47,26.7541,2.404,3.26,18.41,33.8
26.756,2.15,26.7553,2.46,3.11,18.26,31.6
26.7566,2.55,26.7567,2.488,3.03,18.18,30.5
26.7577,2.8,26.7578,2.406,3.25,18.4,33.8
26.7589,2.47,26.7589,2.446,3.14,18.29,32.2
26.76,2.06,26.7603,2.412,3.23,18.38,33.5
26.7612,2.35,26.7615,2.256,3.65,18.8,39.8
26.7636,2.38,26.7629,2.212,3.77,18.92,41.5
26.764,2.02,26.7645,2.384,3.31,18.46,34.6
26.7659,2.25,26.7659,2.354,3.39,18.54,35.8
26.768,2.92,26.7668,2.344,3.42,18.57,36.2
26.768,2.2,26.7678,2.38,3.32,18.47,34.8
26.7683,2.33,26.7685,2.37,3.35,18.5,35.2
26.769,2.2,26.7692,2.252,3.66,18.81,39.9
26.7692,2.2,26.77,2.202,3.79,18.94,41.9
26.7716,2.33,26.7711,2.18,3.85,19,42.8
26.772,1.95,26.7725,2.158,3.91,19.06,43.7
26.7739,2.22,26.774,2.186,3.84,18.99,42.6
26.776,2.09,26.7754,2.144,3.95,19.1,44.2
26.7763,2.34,26.777,2.13,3.99,19.14,44.8
26.7786,2.12,26.7784,2.054,4.19,19.34,47.8
26.78,1.88,26.7798,2.054,4.19,19.34,47.8
26.781,1.84,26.7819,2.032,4.25,19.4,48.7
26.783,2.09,26.7844,1.998,4.34,19.49,50.1
26.787,2.23,26.7874,2.098,4.07,19.22,46.1
26.791,1.95,26.791,2.202,3.79,18.94,41.9
26.795,2.38,26.795,2.21,3.77,18.92,41.6
26.799,2.36,26.799,2.158,3.91,19.06,43.7
26.803,2.13,26.8024,2.296,3.54,18.69,38.2
26.807,1.97,26.8056,2.218,3.75,18.9,41.3
26.808,2.64,26.8082,2.32,3.48,18.63,37.2
26.811,1.99,26.8106,2.33,3.45,18.6,36.8
26.8118,2.87,26.8124,2.554,2.86,18.01,27.8
26.815,2.18,26.8146,2.434,3.18,18.33,32.6
26.816,3.09,26.817,2.492,3.02,18.17,30.3
26.819,2.04,26.8198,2.374,3.34,18.49,35
26.823,2.28,26.8228,2.396,3.28,18.43,34.2
26.826,2.28,26.8259,2.168,3.89,19.04,43.3
26.83,2.29,26.8285,2.272,3.61,18.76,39.1
26.8317,1.95,26.8307,2.232,3.71,18.86,40.7
26.8317,2.56,26.8331,2.108,4.05,19.2,45.7
26.834,2.08,26.8349,2.234,3.71,18.86,40.6
26.838,1.66,26.8369,2.234,3.71,18.86,40.6
26.8389,2.92,26.8398,2.158,3.91,19.06,43.7
26.842,1.95,26.8424,2.182,3.85,19,42.7
26.846,2.18,26.8448,2.476,3.06,18.21,31
26.847,2.2,26.847,2.316,3.49,18.64,37.4
26.85,3.13,26.8494,2.358,3.38,18.53,35.7
26.85,2.12,26.8511,2.33,3.45,18.6,36.8
26.854,2.16,26.8533,2.324,3.47,18.62,37
26.8547,2.04,26.8557,2.146,3.94,19.09,44.2
26.858,2.17,26.8587,2.112,4.03,19.18,45.5
26.862,2.24,26.8611,2.228,3.73,18.88,40.9
26.865,1.95,26.8637,2.354,3.39,18.54,35.8
26.866,2.74,26.8659,2.386,3.3,18.45,34.6
26.8676,2.67,26.8681,2.432,3.18,18.33,32.7
26.869,2.33,26.8705,2.492,3.02,18.17,30.3
26.873,2.47,26.8735,2.368,3.35,18.5,35.3
26.877,2.25,26.877,2.294,3.55,18.7,38.2
26.881,2.12,26.881,2.29,3.56,18.71,38.4
26.885,2.3,26.8842,2.388,3.3,18.45,34.5
26.889,2.31,26.8874,2.384,3.31,18.46,34.6
26.8891,2.96,26.8906,2.448,3.14,18.29,32.1
26.893,2.23,26.8932,2.476,3.06,18.21,31
26.897,2.44,26.8956,2.442,3.15,18.3,32.3
26.898,2.44,26.8986,2.34,3.43,18.58,36.4
26.901,2.14,26.9016,2.344,3.42,18.57,36.2
26.904,2.45,26.9054,2.346,3.41,18.56,36.2
26.908,2.25,26.9098,2.322,3.47,18.62,37.1
26.916,2.45,26.9144,2.394,3.28,18.43,34.2
26.92,2.32,26.9192,2.312,3.5,18.65,37.5
26.924,2.5,26.924,2.278,3.59,18.74,38.9
26.928,2.04,26.928,2.182,3.85,19,42.7
26.932,2.08,26.9312,2.204,3.79,18.94,41.8
26.936,1.97,26.9344,2.226,3.73,18.88,41
26.936,2.43,26.9372,2.39,3.29,18.44,34.4
